locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
2277,CARABAYLLO,Lima,PE,2021-08-16T22:00:00+00:00,2021-08-16T21:00:00-01:00,pm10,54.73,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T22:00:00+00:00,2021-08-16T21:00:00-01:00,pm25,15.93,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T21:00:00+00:00,2021-08-16T20:00:00-01:00,pm25,14.68,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T21:00:00+00:00,2021-08-16T20:00:00-01:00,pm10,45.75,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T20:00:00+00:00,2021-08-16T19:00:00-01:00,pm10,44.82,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T20:00:00+00:00,2021-08-16T19:00:00-01:00,pm25,19.84,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T19:00:00+00:00,2021-08-16T18:00:00-01:00,pm25,20.37,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T19:00:00+00:00,2021-08-16T18:00:00-01:00,pm10,44.78,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T18:00:00+00:00,2021-08-16T17:00:00-01:00,pm10,45.39,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T18:00:00+00:00,2021-08-16T17:00:00-01:00,pm25,20.93,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T17:00:00+00:00,2021-08-16T16:00:00-01:00,pm25,26.2,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T17:00:00+00:00,2021-08-16T16:00:00-01:00,pm10,54,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T16:00:00+00:00,2021-08-16T15:00:00-01:00,pm10,32.68,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T16:00:00+00:00,2021-08-16T15:00:00-01:00,pm25,19.31,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T15:00:00+00:00,2021-08-16T14:00:00-01:00,pm25,12.93,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T15:00:00+00:00,2021-08-16T14:00:00-01:00,pm10,15.82,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T14:00:00+00:00,2021-08-16T13:00:00-01:00,pm10,23.45,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T14:00:00+00:00,2021-08-16T13:00:00-01:00,pm25,13.11,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T13:00:00+00:00,2021-08-16T12:00:00-01:00,pm25,11.89,µg/m³,-11.902194,-77.033639
